ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta
"10.0.2.2","10.0.2.15","40","True","False",,,,"64","6","0","1","1","0","11","0","0x0014","0.009761000",,,,,"25.459674000","0.000978000","0.009761000","0.009761000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","16","0","0x0002",,,,,,"25.460648000","0.000974000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","60","True","False",,,,"64","6","5792","1","0","0","12","0","0x0012","0.009760000",,,,,"25.460648000","0.000000000","0.009760000","0.009760000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","17","0","0x0002",,,,,,"25.461624000","0.000976000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","60","True","False",,,,"64","6","5792","1","0","0","13","0","0x0012","0.009760000",,,,,"25.462600000","0.000976000","0.009760000","0.009760000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","18","0","0x0002",,,,,,"25.463610000","0.001010000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","40","True","False",,,,"64","6","0","1","1","0","14","0","0x0014","0.009794000",,,,,"25.463610000","0.000000000","0.009794000","0.009794000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","19","0","0x0002",,,,,,"25.465529000","0.001919000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","60","True","False",,,,"64","6","5792","1","0","0","15","0","0x0012","0.010739000",,,,,"25.466507000","0.000978000","0.010739000","0.010739000"
"10.0.2.15","10.0.2.2","52","True","False",,,,"64","6","64256","1","1","0","6","0","0x0010","0.015614000",,,,,"25.467480000","0.000973000","0.024400000","0.015614000"
"10.0.2.15","10.0.2.2","52","True","False",,,,"64","6","64256","1","1","0","6","0","0x0014",,,,,,"25.468456000","0.000976000","0.025376000","0.000976000"
,,,,,,,,,,,,,,,,,,,,,,"25.469432000","0.000976000",,
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","20","0","0x0002",,,,,,"25.470443000","0.001011000","0.000000000","0.000000000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","21","0","0x0002",,,,,,"25.471385000","0.000942000","0.000000000","0.000000000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","22","0","0x0002",,,,,,"25.472360000","0.000975000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","60","True","False",,,,"64","6","5792","1","0","0","16","0","0x0012","0.011712000",,,,,"25.472360000","0.000000000","0.011712000","0.011712000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","23","0","0x0002",,,,,,"25.474313000","0.001953000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","40","True","False",,,,"64","6","0","1","1","0","17","0","0x0014","0.012689000",,,,,"25.474313000","0.000000000","0.012689000","0.012689000"
"10.0.2.15","10.0.2.2","52","True","False",,,,"64","6","64256","1","1","0","8","0","0x0010","0.020496000",,,,,"25.475288000","0.000975000","0.031232000","0.020496000"
"10.0.2.15","10.0.2.2","52","True","False",,,,"64","6","64256","1","1","0","8","0","0x0014",,,,,,"25.476265000","0.000977000","0.032209000","0.000977000"
"10.0.2.2","10.0.2.15","40","True","False",,,,"64","6","0","1","1","0","18","0","0x0014","0.012655000",,,,,"25.476265000","0.000000000","0.012655000","0.012655000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","24","0","0x0002",,,,,,"25.477242000","0.000977000","0.000000000","0.000000000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","25","0","0x0002",,,,,,"25.478216000","0.000974000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","40","True","False",,,,"64","6","0","1","1","0","19","0","0x0014","0.013663000",,,,,"25.479192000","0.000976000","0.013663000","0.013663000"
,,,,,,,,,,,,,,,,,,,,,,"25.480168000","0.000976000",,
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","26","0","0x0002",,,,,,"25.481144000","0.000976000","0.000000000","0.000000000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","27","0","0x0002",,,,,,"25.481144000","0.000000000","0.000000000","0.000000000"
"10.0.2.15","10.0.2.2","52","True","False",,,,"64","6","64256","1","1","0","10","0","0x0010","0.024403000",,,,,"25.482123000","0.000979000","0.034163000","0.024403000"
"10.0.2.15","10.0.2.2","52","True","False",,,,"64","6","64256","1","1","0","10","0","0x0014",,,,,,"25.483096000","0.000973000","0.035136000","0.000973000"
"10.0.2.2","10.0.2.15","60","True","False",,,,"64","6","5792","1","0","0","20","0","0x0012","0.013629000",,,,,"25.484072000","0.000976000","0.013629000","0.013629000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","28","0","0x0002",,,,,,"25.485050000","0.000978000","0.000000000","0.000000000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","29","0","0x0002",,,,,,"25.486024000","0.000974000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","60","True","False",,,,"64","6","5792","1","0","0","21","0","0x0012","0.014639000",,,,,"25.486024000","0.000000000","0.014639000","0.014639000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","30","0","0x0002",,,,,,"25.487001000","0.000977000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","40","True","False",,,,"64","6","0","1","1","0","22","0","0x0014","0.015616000",,,,,"25.487976000","0.000975000","0.015616000","0.015616000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","31","0","0x0002",,,,,,"25.488953000","0.000977000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","40","True","False",,,,"64","6","0","1","1","0","23","0","0x0014","0.015617000",,,,,"25.489930000","0.000977000","0.015617000","0.015617000"
"10.0.2.15","10.0.2.2","52","True","False",,,,"64","6","64256","1","1","0","12","0","0x0010","0.030276000",,,,,"25.490924000","0.000994000","0.040036000","0.030276000"
"10.0.2.2","10.0.2.15","40","True","False",,,,"64","6","0","1","1","0","24","0","0x0014","0.013682000",,,,,"25.490924000","0.000000000","0.013682000","0.013682000"
"10.0.2.15","10.0.2.2","52","True","False",,,,"64","6","64256","1","1","0","12","0","0x0014",,,,,,"25.491914000","0.000990000","0.041026000","0.000990000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","32","0","0x0002",,,,,,"25.491914000","0.000000000","0.000000000","0.000000000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","33","0","0x0002",,,,,,"25.492857000","0.000943000","0.000000000","0.000000000"
"10.0.2.15","10.0.2.2","52","True","False",,,,"64","6","64256","1","1","0","13","0","0x0010","0.031232000",,,,,"25.493832000","0.000975000","0.040992000","0.031232000"
"10.0.2.2","10.0.2.15","40","True","False",,,,"64","6","0","1","1","0","25","0","0x0014","0.016592000",,,,,"25.494808000","0.000976000","0.016592000","0.016592000"
"10.0.2.15","10.0.2.2","52","True","False",,,,"64","6","64256","1","1","0","13","0","0x0014",,,,,,"25.496762000","0.001954000","0.043922000","0.002930000"
"10.0.2.2","8.8.8.8","68","True","False",,,,"64","17",,,,,,,,,,,,"36764","25.497736000","0.000974000",,
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","34","0","0x0002",,,,,,"25.498713000","0.000977000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","40","True","False",,,,"64","6","0","1","1","0","26","0","0x0014","0.017569000",,,,,"25.498713000","0.000000000","0.017569000","0.017569000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","35","0","0x0002",,,,,,"25.499688000","0.000975000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","60","True","False",,,,"64","6","5792","1","0","0","27","0","0x0012","0.019524000",,,,,"25.500668000","0.000980000","0.019524000","0.019524000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","36","0","0x0002",,,,,,"25.501640000","0.000972000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","64","True","False",,,,"64","6","5824","1","1","12","10","0","0x0018",,,,,,"25.502619000","0.000979000","0.054659000","0.019523000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","37","0","0x0002",,,,,,"25.503592000","0.000973000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","40","True","False",,,,"64","6","0","1","1","0","28","0","0x0014","0.019518000",,,,,"25.504568000","0.000976000","0.019518000","0.019518000"
"10.0.2.15","10.0.2.2","52","True","False",,,,"64","6","64256","1","1","0","15","0","0x0010","0.039037000",,,,,"25.505544000","0.000976000","0.049776000","0.039037000"
"10.0.2.2","10.0.2.15","40","True","False",,,,"64","6","0","1","1","0","29","0","0x0014","0.020499000",,,,,"25.506523000","0.000979000","0.020499000","0.020499000"
"10.0.2.15","10.0.2.2","52","True","False",,,,"64","6","64256","1","1","0","15","0","0x0014",,,,,,"25.507498000","0.000975000","0.051730000","0.001954000"
"10.0.2.2","10.0.2.15","40","True","False",,,,"64","6","0","1","1","0","30","0","0x0014","0.020497000",,,,,"25.507498000","0.000000000","0.020497000","0.020497000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","38","0","0x0002",,,,,,"25.508472000","0.000974000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","40","True","False",,,,"64","6","0","1","1","0","31","0","0x0014","0.020495000",,,,,"25.509448000","0.000976000","0.020495000","0.020495000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","39","0","0x0002",,,,,,"25.510424000","0.000976000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","40","True","False",,,,"64","6","0","1","1","0","32","0","0x0014","0.019486000",,,,,"25.511400000","0.000976000","0.019486000","0.019486000"
"10.0.2.15","10.0.2.2","52","True","False",,,,"64","6","64256","1","1","0","16","0","0x0010","0.040018000",,,,,"25.512378000","0.000978000","0.051730000","0.040018000"
"10.0.2.2","10.0.2.15","40","True","False",,,,"64","6","0","1","1","0","33","0","0x0014","0.019521000",,,,,"25.512378000","0.000000000","0.019521000","0.019521000"
"10.0.2.15","10.0.2.2","52","True","False",,,,"64","6","64256","1","1","0","16","0","0x0014",,,,,,"25.513354000","0.000976000","0.052706000","0.000976000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","40","0","0x0002",,,,,,"25.514329000","0.000975000","0.000000000","0.000000000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","41","0","0x0002",,,,,,"25.515305000","0.000976000","0.000000000","0.000000000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","42","0","0x0002",,,,,,"25.516281000","0.000976000","0.000000000","0.000000000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","43","0","0x0002",,,,,,"25.517257000","0.000976000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","40","True","False",,,,"64","6","0","1","1","0","34","0","0x0014","0.019520000",,,,,"25.518233000","0.000976000","0.019520000","0.019520000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","44","0","0x0002",,,,,,"25.520186000","0.001953000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","40","True","False",,,,"64","6","0","1","1","0","35","0","0x0014","0.021474000",,,,,"25.521162000","0.000976000","0.021474000","0.021474000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","45","0","0x0002",,,,,,"25.522136000","0.000974000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","40","True","False",,,,"64","6","0","1","1","0","36","0","0x0014","0.020496000",,,,,"25.522136000","0.000000000","0.020496000","0.020496000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","46","0","0x0002",,,,,,"25.523147000","0.001011000","0.000000000","0.000000000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","47","0","0x0002",,,,,,"25.524088000","0.000941000","0.000000000","0.000000000"
"10.0.2.15","10.0.2.2","52","True","False",,,,"64","6","64256","1","1","0","20","0","0x0010","0.040016000",,,,,"25.524088000","0.000000000","0.053645000","0.040016000"
"10.0.2.2","10.0.2.15","40","True","False",,,,"64","6","0","1","1","0","37","0","0x0014","0.021472000",,,,,"25.525064000","0.000976000","0.021472000","0.021472000"
"10.0.2.15","10.0.2.2","52","True","False",,,,"64","6","64256","1","1","0","20","0","0x0014",,,,,,"25.526040000","0.000976000","0.055597000","0.001952000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","48","0","0x0002",,,,,,"25.527992000","0.001952000","0.000000000","0.000000000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","49","0","0x0002",,,,,,"25.528968000","0.000976000","0.000000000","0.000000000"
"10.0.2.15","10.0.2.2","52","True","False",,,,"64","6","64256","1","1","0","21","0","0x0010","0.043921000",,,,,"25.529945000","0.000977000","0.058560000","0.043921000"
"10.0.2.15","10.0.2.2","52","True","False",,,,"64","6","64256","1","1","0","21","0","0x0014",,,,,,"25.530921000","0.000976000","0.059536000","0.000976000"
"10.0.2.2","10.0.2.15","40","True","False",,,,"64","6","0","1","1","0","38","0","0x0014","0.023424000",,,,,"25.531896000","0.000975000","0.023424000","0.023424000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","50","0","0x0002",,,,,,"25.533870000","0.001974000","0.000000000","0.000000000"
"10.0.2.15","10.0.2.2","60","True","False",,,,"64","6","64240","0","0","0","51","0","0x0002",,,,,,"25.534825000","0.000955000","0.000000000","0.000000000"
